province,type_zone,nom_etablissement,type_etablissement,nb_eleves,mois_depuis_derniere_visite,theme,saison,jour,distance_km,budget_mad,risque_logistique,score_engagement
Marrakech,Urbaine,Lycée Victor Hugo,Lycée,739,24,Creation de Jeux Scratch,Automne,Dimanche,49,554.61,Faible,65
Zagora,Rurale,Lycée Hassan II,Lycée,432,5,Intelligence Artificielle MVP,Hiver,Dimanche,321,3038.11,Moyen,67
Tanger-Assilah,Urbaine,Lycée Ibn Al Khatib Tanger,Lycée,1051,7,Intelligence Artificielle MVP,Ete,Mardi,20,238.16,Faible,52
Kenitra,Mixte,Lycée Ibn Tahir,Lycée,797,22,Robotique & Arduino,Ete,Mardi,54,526.91,Faible,59
Tata,Rurale,Lycée Hassan Ier,Lycée,262,15,Intelligence Artificielle MVP,Ete,Dimanche,226,2700.04,Moyen,72
Chefchaouen,Rurale,Collège Al Houria,Collège,579,8,Initiation Python,Ete,Lundi,345,3141.6,Faible,61
Midelt,Rurale,Lycée Moulay Ali Cherif,Lycée,446,3,Robotique & Arduino,Ete,Vendredi,169,1452.42,Moyen,62
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Al Imam Malik,Lycée,949,2,Initiation Python,Printemps,Jeudi,49,526.23,Faible,57
Azilal,Rurale,Collège Demnate,Collège,531,12,Robotique & Arduino,Automne,Vendredi,421,4987.18,Faible,75
Tata,Rurale,Collège Ibn Batouta,Collège,487,5,Creation de Jeux Scratch,Hiver,Vendredi,273,4411.66,Eleve,61
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Al Imam Malik,Lycée,945,23,Intelligence Artificielle MVP,Automne,Samedi,28,267.74,Faible,74
Safi,Mixte,Lycée Zerktouni,Lycée,677,8,Intelligence Artificielle MVP,Automne,Samedi,118,1133.87,Faible,70
Casablanca,Urbaine,Lycée Al Khawarizmi,Lycée,991,9,Robotique & Arduino,Hiver,Lundi,34,278.24,Faible,64
Beni Mellal,Mixte,Lycée Ibn Sina,Lycée,736,22,Initiation Python,Printemps,Dimanche,126,1105.54,Faible,86
Zagora,Rurale,Collège Al Massira,Collège,516,17,Robotique & Arduino,Hiver,Lundi,388,6909.92,Eleve,70
Midelt,Rurale,Collège Ibn Khaldoun,Collège,586,3,Robotique & Arduino,Printemps,Mercredi,251,2993.68,Faible,71
Taroudant,Mixte,Collège Al Majd,Collège,797,8,Robotique & Arduino,Printemps,Lundi,74,673.22,Faible,75
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,826,14,Creation de Jeux Scratch,Automne,Vendredi,45,441.38,Faible,61
Safi,Mixte,Lycée Moulay Ismail,Lycée,656,5,Initiation Python,Ete,Mercredi,60,511.28,Faible,52
Kenitra,Mixte,Lycée Technique Kenitra,Lycée Technique,527,9,Creation de Jeux Scratch,Hiver,Jeudi,84,696.26,Faible,81
Tinghir,Rurale,Lycée Salah Eddine Al Ayoubi,Lycée,384,22,Creation de Jeux Scratch,Hiver,Jeudi,412,5706.12,Eleve,73
Tanger-Assilah,Urbaine,Lycée Ibn Al Khatib Tanger,Lycée,1058,4,Intelligence Artificielle MVP,Hiver,Vendredi,10,99.93,Faible,66
Fes,Urbaine,Lycée Ibn Al Khatib,Lycée,835,9,Creation de Jeux Scratch,Printemps,Lundi,15,177.49,Faible,57
Marrakech,Urbaine,Lycée Hassan II Marrakech,Lycée,850,12,Robotique & Arduino,Automne,Mardi,39,371.3,Faible,73
Safi,Mixte,Lycée Zerktouni,Lycée,685,14,Robotique & Arduino,Ete,Jeudi,140,1550.04,Faible,67
Marrakech,Urbaine,Lycée Victor Hugo,Lycée,722,2,Intelligence Artificielle MVP,Automne,Lundi,41,354.26,Faible,48
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,938,21,Creation de Jeux Scratch,Hiver,Lundi,50,410.84,Faible,51
Settat,Mixte,Collège Al Wahda,Collège,903,6,Creation de Jeux Scratch,Automne,Mercredi,114,1200.4,Faible,67
Tanger-Assilah,Urbaine,Lycée Ibn Al Khatib Tanger,Lycée,1007,7,Intelligence Artificielle MVP,Hiver,Samedi,50,483.49,Faible,67
Zagora,Rurale,Collège Al Massira,Collège,495,19,Creation de Jeux Scratch,Ete,Dimanche,166,1644.86,Moyen,72
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,449,12,Intelligence Artificielle MVP,Automne,Mercredi,341,2942.02,Faible,70
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Al Imam Malik,Lycée,949,7,Initiation Python,Ete,Jeudi,46,525.33,Faible,45
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,409,23,Intelligence Artificielle MVP,Hiver,Jeudi,303,5360.91,Eleve,69
Beni Mellal,Mixte,Lycée Hassan II Beni Mellal,Lycée,687,12,Creation de Jeux Scratch,Ete,Jeudi,92,1066.43,Faible,60
Safi,Mixte,Lycée Zerktouni,Lycée,685,22,Robotique & Arduino,Ete,Lundi,138,1642.67,Faible,52
Tata,Rurale,Collège Ibn Batouta,Collège,467,23,Creation de Jeux Scratch,Printemps,Mardi,274,2363.76,Moyen,78
Zagora,Rurale,Lycée Hassan II,Lycée,390,6,Robotique & Arduino,Ete,Mardi,257,2641.13,Moyen,64
Zagora,Rurale,Collège Al Massira,Collège,497,24,Intelligence Artificielle MVP,Hiver,Samedi,150,2692.91,Eleve,86
Kenitra,Mixte,Lycée Technique Kenitra,Lycée Technique,595,14,Robotique & Arduino,Printemps,Vendredi,142,1257.97,Faible,76
Beni Mellal,Mixte,Lycée Hassan II Beni Mellal,Lycée,677,16,Initiation Python,Ete,Samedi,116,1326.47,Faible,59
Safi,Mixte,Lycée Zerktouni,Lycée,745,12,Initiation Python,Automne,Samedi,90,812.01,Faible,83
Tata,Rurale,Lycée Hassan Ier,Lycée,271,12,Creation de Jeux Scratch,Ete,Mercredi,407,4746.87,Moyen,53
Midelt,Rurale,Collège Ibn Khaldoun,Collège,581,21,Creation de Jeux Scratch,Automne,Dimanche,242,2814.69,Moyen,90
Kenitra,Mixte,Lycée Ibn Tahir,Lycée,798,20,Intelligence Artificielle MVP,Ete,Jeudi,119,1243.15,Faible,58
Kenitra,Mixte,Lycée Technique Kenitra,Lycée Technique,588,15,Intelligence Artificielle MVP,Automne,Mardi,57,581.38,Faible,81
Fes,Urbaine,CPGE Al Khansaa,CPGE,262,5,Creation de Jeux Scratch,Automne,Dimanche,49,538.38,Faible,55
Tanger-Assilah,Urbaine,Lycée Moulay Abdelaziz,Lycée,943,3,Initiation Python,Ete,Dimanche,44,476.53,Faible,51
Azilal,Rurale,Collège Demnate,Collège,531,23,Robotique & Arduino,Automne,Vendredi,328,3516.98,Moyen,75
Taroudant,Mixte,Collège Al Majd,Collège,796,24,Intelligence Artificielle MVP,Automne,Samedi,97,806.69,Faible,85
Settat,Mixte,Lycée Allal Al Fassi,Lycée,889,24,Creation de Jeux Scratch,Ete,Samedi,71,814.47,Faible,74
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,960,12,Intelligence Artificielle MVP,Printemps,Mardi,35,329.67,Faible,69
Chefchaouen,Rurale,Collège Al Houria,Collège,561,10,Creation de Jeux Scratch,Printemps,Mercredi,398,3578.69,Moyen,70
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,875,22,Intelligence Artificielle MVP,Hiver,Samedi,49,572.17,Faible,68
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,830,15,Creation de Jeux Scratch,Ete,Mardi,26,308.26,Faible,40
Taroudant,Mixte,Lycée Ibn Soulaiman Roudani,Lycée,584,10,Initiation Python,Printemps,Mardi,121,1189.02,Faible,63
Casablanca,Urbaine,Lycée Moulay Abdellah,Lycée,1205,6,Intelligence Artificielle MVP,Hiver,Samedi,23,186.77,Faible,64
Azilal,Rurale,Lycée Ouzoud,Lycée,448,19,Creation de Jeux Scratch,Hiver,Mercredi,218,2010.49,Moyen,71
Marrakech,Urbaine,Lycée Victor Hugo,Lycée,789,5,Creation de Jeux Scratch,Ete,Mardi,17,197.22,Faible,34
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,510,19,Intelligence Artificielle MVP,Printemps,Vendredi,189,1836.36,Faible,72
Marrakech,Urbaine,Lycée Hassan II Marrakech,Lycée,915,5,Initiation Python,Printemps,Vendredi,42,389.68,Faible,53
Tata,Rurale,Collège Ibn Batouta,Collège,475,13,Robotique & Arduino,Hiver,Samedi,350,4477.87,Eleve,92
Settat,Mixte,Lycée Allal Al Fassi,Lycée,862,8,Creation de Jeux Scratch,Printemps,Vendredi,70,765.03,Faible,68
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,409,22,Robotique & Arduino,Printemps,Jeudi,203,1755.63,Faible,88
Tata,Rurale,Lycée Hassan Ier,Lycée,317,4,Creation de Jeux Scratch,Printemps,Vendredi,263,2835.07,Faible,72
Al Hoceima,Rurale,Lycée Mohammed V,Lycée,563,9,Creation de Jeux Scratch,Ete,Jeudi,367,4165.85,Faible,62
Rabat,Urbaine,Lycée Moulay Youssef,Lycée,1092,22,Creation de Jeux Scratch,Hiver,Mardi,46,386.31,Faible,58
Midelt,Rurale,Collège Ibn Khaldoun,Collège,626,6,Initiation Python,Ete,Lundi,293,3268.64,Faible,56
Midelt,Rurale,Collège Ibn Khaldoun,Collège,652,19,Robotique & Arduino,Automne,Mardi,251,2166.21,Moyen,87
Beni Mellal,Mixte,Lycée Ibn Sina,Lycée,678,20,Initiation Python,Hiver,Lundi,71,736.65,Faible,76
Fes,Urbaine,Lycée Ibn Al Khatib,Lycée,867,23,Intelligence Artificielle MVP,Hiver,Samedi,47,385.85,Faible,77
Fes,Urbaine,Lycée Ibn Al Khatib,Lycée,847,9,Robotique & Arduino,Printemps,Jeudi,17,181.31,Faible,59
Taroudant,Mixte,Lycée Mohammed V Taroudant,Lycée,641,10,Robotique & Arduino,Printemps,Vendredi,108,891.13,Faible,82
Marrakech,Urbaine,Lycée Victor Hugo,Lycée,713,24,Intelligence Artificielle MVP,Automne,Vendredi,38,363.18,Faible,60
Kenitra,Mixte,Lycée Technique Kenitra,Lycée Technique,598,3,Robotique & Arduino,Printemps,Lundi,133,1327.23,Faible,72
Kenitra,Mixte,Lycée Ibn Tahir,Lycée,777,11,Robotique & Arduino,Ete,Jeudi,51,465.31,Faible,66
Casablanca,Urbaine,Lycée technique Ain Sebaa,Lycée Technique,882,7,Initiation Python,Hiver,Mardi,43,388.89,Faible,68
Tata,Rurale,Lycée Hassan Ier,Lycée,336,10,Initiation Python,Ete,Vendredi,255,2491.67,Moyen,52
Zagora,Rurale,Lycée Hassan II,Lycée,426,14,Creation de Jeux Scratch,Ete,Dimanche,294,2833.08,Moyen,67
Zagora,Rurale,Collège Al Massira,Collège,550,5,Initiation Python,Printemps,Mardi,375,3917.95,Moyen,73
Beni Mellal,Mixte,Lycée Hassan II Beni Mellal,Lycée,609,0,Intelligence Artificielle MVP,Ete,Samedi,52,440.55,Faible,43
Tata,Rurale,Lycée Hassan Ier,Lycée,293,7,Initiation Python,Hiver,Mardi,241,3187.25,Eleve,73
Midelt,Rurale,Lycée Moulay Ali Cherif,Lycée,517,9,Intelligence Artificielle MVP,Ete,Lundi,369,3929.16,Moyen,51
Fes,Urbaine,Lycée Ibn Al Khatib,Lycée,820,10,Intelligence Artificielle MVP,Ete,Vendredi,36,331.67,Faible,46
Kenitra,Mixte,Lycée Technique Kenitra,Lycée Technique,608,16,Initiation Python,Automne,Dimanche,97,998.42,Faible,79
Midelt,Rurale,Collège Ibn Khaldoun,Collège,617,1,Intelligence Artificielle MVP,Automne,Samedi,350,2946.56,Faible,68
Tinghir,Rurale,Collège Ibn Sina,Collège,660,23,Intelligence Artificielle MVP,Hiver,Lundi,408,5261.3,Eleve,74
Fes,Urbaine,Lycée Moulay Idriss,Lycée,1072,2,Intelligence Artificielle MVP,Ete,Mardi,31,348.32,Faible,32
Fes,Urbaine,CPGE Al Khansaa,CPGE,262,11,Creation de Jeux Scratch,Hiver,Mardi,17,165.05,Faible,52
Chefchaouen,Rurale,Collège Al Houria,Collège,609,15,Intelligence Artificielle MVP,Hiver,Jeudi,224,3287.09,Eleve,83
Casablanca,Urbaine,Lycée Moulay Abdellah,Lycée,1192,16,Initiation Python,Ete,Jeudi,27,217.63,Faible,55
Casablanca,Urbaine,Lycée Al Khawarizmi,Lycée,931,17,Robotique & Arduino,Printemps,Dimanche,22,249.88,Faible,65
Safi,Mixte,Lycée Moulay Ismail,Lycée,586,14,Initiation Python,Hiver,Lundi,82,694.08,Faible,62
Tanger-Assilah,Urbaine,Lycée Ibn Al Khatib Tanger,Lycée,982,18,Initiation Python,Printemps,Lundi,30,322.01,Faible,60
Casablanca,Urbaine,Lycée Moulay Abdellah,Lycée,1231,5,Creation de Jeux Scratch,Printemps,Vendredi,48,573.05,Faible,44
Azilal,Rurale,Lycée Ouzoud,Lycée,452,20,Creation de Jeux Scratch,Hiver,Dimanche,335,5764.54,Eleve,86
Tanger-Assilah,Urbaine,Lycée Moulay Abdelaziz,Lycée,888,8,Robotique & Arduino,Ete,Lundi,41,450.13,Faible,50
Midelt,Rurale,Lycée Moulay Ali Cherif,Lycée,511,4,Intelligence Artificielle MVP,Hiver,Vendredi,374,5126.97,Eleve,64
Rabat,Urbaine,Lycée Moulay Youssef,Lycée,1047,21,Robotique & Arduino,Ete,Dimanche,38,313.45,Faible,52
Kenitra,Mixte,Lycée Technique Kenitra,Lycée Technique,577,20,Robotique & Arduino,Printemps,Lundi,100,982.51,Faible,75
Taroudant,Mixte,Lycée Ibn Soulaiman Roudani,Lycée,568,22,Robotique & Arduino,Automne,Mercredi,121,1367.48,Faible,80
Tinghir,Rurale,Collège Ibn Sina,Collège,676,1,Robotique & Arduino,Ete,Samedi,296,2728.71,Moyen,52
Al Hoceima,Rurale,Lycée Mohammed V,Lycée,578,2,Intelligence Artificielle MVP,Ete,Dimanche,171,1909.82,Moyen,53
Safi,Mixte,Lycée Zerktouni,Lycée,678,5,Intelligence Artificielle MVP,Hiver,Mardi,75,669.49,Faible,69
Casablanca,Urbaine,Lycée Mohammed V Casa,Lycée,1115,17,Robotique & Arduino,Automne,Dimanche,41,381.3,Faible,73
Kenitra,Mixte,Lycée Abdelmalek Essaadi,Lycée,763,24,Intelligence Artificielle MVP,Hiver,Dimanche,137,1402.21,Faible,71
Tanger-Assilah,Urbaine,Lycée Ibn Al Khatib Tanger,Lycée,1059,13,Robotique & Arduino,Printemps,Samedi,42,432.38,Faible,77
Rabat,Urbaine,CPGE Descartes Rabat,CPGE,255,12,Creation de Jeux Scratch,Hiver,Jeudi,10,116.5,Faible,61
Tanger-Assilah,Urbaine,Lycée Technique Tanger,Lycée Technique,734,13,Intelligence Artificielle MVP,Printemps,Mercredi,14,143.93,Faible,74
Chefchaouen,Rurale,Collège Al Houria,Collège,638,8,Robotique & Arduino,Automne,Vendredi,263,2977.09,Faible,73
Azilal,Rurale,Lycée Technique Azilal,Lycée Technique,305,4,Robotique & Arduino,Printemps,Lundi,449,4261.4,Faible,68
Safi,Mixte,Lycée Zerktouni,Lycée,738,13,Intelligence Artificielle MVP,Automne,Jeudi,148,1307.07,Faible,68
Tinghir,Rurale,Lycée Bamou,Lycée,495,17,Robotique & Arduino,Ete,Mercredi,237,2841.15,Moyen,70
Kenitra,Mixte,Lycée Technique Kenitra,Lycée Technique,532,23,Creation de Jeux Scratch,Hiver,Dimanche,94,959.35,Faible,82
Beni Mellal,Mixte,CPGE Beni Mellal,CPGE,223,0,Robotique & Arduino,Hiver,Vendredi,103,1112.52,Faible,72
Beni Mellal,Mixte,Lycée Ibn Sina,Lycée,707,23,Robotique & Arduino,Printemps,Jeudi,97,1037.68,Faible,83
Casablanca,Urbaine,Lycée technique Ain Sebaa,Lycée Technique,873,18,Creation de Jeux Scratch,Printemps,Vendredi,23,265.32,Faible,69
Beni Mellal,Mixte,CPGE Beni Mellal,CPGE,194,23,Initiation Python,Automne,Dimanche,71,773.69,Faible,79
Beni Mellal,Mixte,CPGE Beni Mellal,CPGE,214,18,Creation de Jeux Scratch,Printemps,Mercredi,140,1211.07,Faible,75
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,884,1,Creation de Jeux Scratch,Hiver,Dimanche,33,359.13,Faible,46
Beni Mellal,Mixte,CPGE Beni Mellal,CPGE,186,12,Creation de Jeux Scratch,Automne,Jeudi,145,1482.13,Faible,79
Zagora,Rurale,Collège Al Massira,Collège,504,16,Initiation Python,Hiver,Vendredi,186,2893.39,Eleve,79
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,940,12,Creation de Jeux Scratch,Hiver,Samedi,26,278.69,Faible,61
Azilal,Rurale,Lycée Technique Azilal,Lycée Technique,306,0,Intelligence Artificielle MVP,Hiver,Mardi,336,5110.85,Eleve,57
Zagora,Rurale,Lycée Hassan II,Lycée,450,1,Intelligence Artificielle MVP,Automne,Dimanche,346,3666.45,Moyen,70
Tata,Rurale,Lycée Hassan Ier,Lycée,335,23,Intelligence Artificielle MVP,Printemps,Samedi,351,4166.94,Moyen,75
Marrakech,Urbaine,Lycée Hassan II Marrakech,Lycée,903,6,Initiation Python,Hiver,Mardi,15,149.03,Faible,61
Casablanca,Urbaine,Lycée Al Khawarizmi,Lycée,979,3,Robotique & Arduino,Ete,Mercredi,23,189.36,Faible,44
Casablanca,Urbaine,Lycée Moulay Abdellah,Lycée,1203,3,Intelligence Artificielle MVP,Automne,Lundi,15,132.79,Faible,58
Midelt,Rurale,Lycée Moulay Ali Cherif,Lycée,489,17,Robotique & Arduino,Printemps,Jeudi,353,3615.74,Moyen,77
Casablanca,Urbaine,Lycée Mohammed V Casa,Lycée,1060,14,Creation de Jeux Scratch,Hiver,Vendredi,15,136.34,Faible,59
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,884,16,Initiation Python,Ete,Mardi,16,135.95,Faible,57
Azilal,Rurale,Lycée Ouzoud,Lycée,400,10,Creation de Jeux Scratch,Printemps,Jeudi,440,4879.58,Moyen,76
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,392,23,Creation de Jeux Scratch,Automne,Lundi,441,3752.79,Faible,76
Fes,Urbaine,Lycée Ibn Al Khatib,Lycée,881,9,Robotique & Arduino,Ete,Mardi,40,468.85,Faible,42
Beni Mellal,Mixte,Lycée Hassan II Beni Mellal,Lycée,618,9,Robotique & Arduino,Printemps,Dimanche,132,1073.32,Faible,75
Kenitra,Mixte,Lycée Abdelmalek Essaadi,Lycée,775,13,Creation de Jeux Scratch,Hiver,Dimanche,108,1117.87,Faible,72
Azilal,Rurale,Lycée Technique Azilal,Lycée Technique,316,21,Creation de Jeux Scratch,Printemps,Dimanche,428,4139.53,Faible,79
Kenitra,Mixte,Lycée Ibn Tahir,Lycée,815,12,Intelligence Artificielle MVP,Automne,Mardi,69,675.2,Faible,79
Kenitra,Mixte,Lycée Technique Kenitra,Lycée Technique,573,7,Intelligence Artificielle MVP,Hiver,Mercredi,135,1310.5,Faible,74
Tinghir,Rurale,Lycée Bamou,Lycée,493,22,Intelligence Artificielle MVP,Printemps,Mercredi,175,1468.53,Faible,69
Safi,Mixte,Lycée Zerktouni,Lycée,675,3,Creation de Jeux Scratch,Automne,Mercredi,60,619.61,Faible,68
Midelt,Rurale,Lycée Moulay Ali Cherif,Lycée,441,4,Robotique & Arduino,Hiver,Mardi,328,4138.7,Eleve,73
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,485,10,Intelligence Artificielle MVP,Printemps,Mercredi,161,1655.77,Moyen,75
Rabat,Urbaine,CPGE Descartes Rabat,CPGE,209,8,Creation de Jeux Scratch,Hiver,Mardi,29,259.39,Faible,56
Zagora,Rurale,Lycée Hassan II,Lycée,407,9,Robotique & Arduino,Printemps,Mercredi,283,2391.42,Faible,73
Azilal,Rurale,Collège Demnate,Collège,533,16,Creation de Jeux Scratch,Ete,Mercredi,226,1880.79,Faible,70
Fes,Urbaine,Lycée Moulay Idriss,Lycée,983,17,Intelligence Artificielle MVP,Printemps,Samedi,28,259.13,Faible,76
Safi,Mixte,Lycée Moulay Ismail,Lycée,630,18,Intelligence Artificielle MVP,Hiver,Dimanche,59,490.72,Faible,71
Tanger-Assilah,Urbaine,Lycée Ibn Al Khatib Tanger,Lycée,1009,24,Initiation Python,Automne,Mercredi,44,467.91,Faible,71
Azilal,Rurale,Collège Demnate,Collège,531,21,Creation de Jeux Scratch,Hiver,Samedi,351,4667.71,Eleve,86
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,838,9,Robotique & Arduino,Hiver,Lundi,25,267.32,Faible,63
Zagora,Rurale,Collège Al Massira,Collège,505,4,Creation de Jeux Scratch,Automne,Samedi,372,3891.09,Moyen,82
Midelt,Rurale,Lycée Moulay Ali Cherif,Lycée,460,0,Intelligence Artificielle MVP,Ete,Mercredi,188,1650.62,Moyen,46
Al Hoceima,Rurale,Lycée Mohammed V,Lycée,568,3,Creation de Jeux Scratch,Printemps,Samedi,396,4621.57,Moyen,75
Tanger-Assilah,Urbaine,Lycée Moulay Abdelaziz,Lycée,953,24,Robotique & Arduino,Printemps,Dimanche,14,132.02,Faible,77
Chefchaouen,Rurale,Collège Al Houria,Collège,560,1,Intelligence Artificielle MVP,Automne,Mercredi,422,3933.11,Moyen,61
Tata,Rurale,Lycée Hassan Ier,Lycée,356,7,Creation de Jeux Scratch,Ete,Mercredi,301,2534.84,Moyen,49
Tanger-Assilah,Urbaine,Lycée Technique Tanger,Lycée Technique,751,11,Intelligence Artificielle MVP,Hiver,Mercredi,34,352.04,Faible,63
Fes,Urbaine,CPGE Al Khansaa,CPGE,212,14,Creation de Jeux Scratch,Hiver,Samedi,15,144.99,Faible,66
Kenitra,Mixte,Lycée Ibn Tahir,Lycée,828,11,Intelligence Artificielle MVP,Printemps,Mercredi,130,1369.89,Faible,76
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,883,1,Creation de Jeux Scratch,Hiver,Lundi,44,388.62,Faible,31
Tinghir,Rurale,Collège Ibn Sina,Collège,700,20,Intelligence Artificielle MVP,Ete,Jeudi,436,5109.96,Moyen,60
Safi,Mixte,Lycée Zerktouni,Lycée,736,9,Creation de Jeux Scratch,Printemps,Lundi,128,1166.77,Faible,60
Zagora,Rurale,Collège Al Massira,Collège,571,21,Creation de Jeux Scratch,Printemps,Dimanche,304,3040.11,Faible,90
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,516,13,Intelligence Artificielle MVP,Hiver,Vendredi,375,6360.62,Eleve,70
Tinghir,Rurale,Lycée Bamou,Lycée,560,6,Robotique & Arduino,Hiver,Mercredi,364,4424.97,Eleve,75
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,909,20,Initiation Python,Printemps,Mercredi,47,536.74,Faible,61
Taroudant,Mixte,Collège Al Majd,Collège,822,15,Initiation Python,Hiver,Mardi,80,863.72,Faible,75
Al Hoceima,Rurale,Lycée Mohammed V,Lycée,515,3,Intelligence Artificielle MVP,Hiver,Dimanche,312,3972.33,Eleve,81
Tinghir,Rurale,Collège Ibn Sina,Collège,693,18,Intelligence Artificielle MVP,Hiver,Mardi,338,4089.7,Eleve,76
Zagora,Rurale,Collège Al Massira,Collège,567,17,Robotique & Arduino,Printemps,Samedi,316,3060.28,Faible,85
Safi,Mixte,Lycée Moulay Ismail,Lycée,623,23,Creation de Jeux Scratch,Automne,Mardi,111,1252.31,Faible,70
Rabat,Urbaine,CPGE Descartes Rabat,CPGE,279,14,Intelligence Artificielle MVP,Hiver,Samedi,20,229.91,Faible,71
Safi,Mixte,Lycée Moulay Ismail,Lycée,644,17,Robotique & Arduino,Ete,Mercredi,77,722.55,Faible,59
Settat,Mixte,Collège Al Wahda,Collège,951,10,Intelligence Artificielle MVP,Automne,Dimanche,139,1366.78,Faible,79
Midelt,Rurale,Collège Ibn Khaldoun,Collège,599,24,Creation de Jeux Scratch,Hiver,Dimanche,330,5075.76,Eleve,84
Beni Mellal,Mixte,Lycée Hassan II Beni Mellal,Lycée,628,12,Creation de Jeux Scratch,Hiver,Jeudi,132,1330.62,Faible,71
Zagora,Rurale,Collège Al Massira,Collège,561,1,Creation de Jeux Scratch,Automne,Dimanche,185,2111.89,Moyen,72
Marrakech,Urbaine,Lycée Victor Hugo,Lycée,745,21,Robotique & Arduino,Hiver,Jeudi,38,362.4,Faible,67
Azilal,Rurale,Lycée Ouzoud,Lycée,419,0,Initiation Python,Ete,Dimanche,267,2231.61,Faible,43
Azilal,Rurale,Lycée Technique Azilal,Lycée Technique,266,24,Robotique & Arduino,Ete,Mardi,420,4928.48,Moyen,65
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,822,9,Creation de Jeux Scratch,Printemps,Mardi,47,508.77,Faible,48
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Al Imam Malik,Lycée,996,12,Creation de Jeux Scratch,Ete,Lundi,18,144.69,Faible,38
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,401,10,Creation de Jeux Scratch,Printemps,Mercredi,353,3278.5,Moyen,69
Midelt,Rurale,Collège Ibn Khaldoun,Collège,644,6,Initiation Python,Printemps,Samedi,440,4614.26,Faible,86
Tanger-Assilah,Urbaine,Lycée Technique Tanger,Lycée Technique,803,2,Intelligence Artificielle MVP,Hiver,Mardi,15,120.03,Faible,60
Tata,Rurale,Collège Ibn Batouta,Collège,448,12,Intelligence Artificielle MVP,Printemps,Jeudi,432,4352.2,Moyen,71
Fes,Urbaine,Lycée Moulay Idriss,Lycée,980,22,Intelligence Artificielle MVP,Ete,Vendredi,37,394.55,Faible,48
Settat,Mixte,Collège Al Wahda,Collège,946,20,Initiation Python,Automne,Mardi,60,481.17,Faible,75
Tinghir,Rurale,Collège Ibn Sina,Collège,639,1,Robotique & Arduino,Hiver,Lundi,336,4819.53,Eleve,67
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,924,17,Robotique & Arduino,Ete,Mercredi,20,167.45,Faible,54
Tanger-Assilah,Urbaine,Lycée Moulay Abdelaziz,Lycée,920,0,Robotique & Arduino,Ete,Vendredi,27,258.42,Faible,27
Casablanca,Urbaine,Lycée technique Ain Sebaa,Lycée Technique,901,24,Creation de Jeux Scratch,Printemps,Samedi,14,155.33,Faible,61
Tata,Rurale,Lycée Hassan Ier,Lycée,268,21,Initiation Python,Hiver,Vendredi,342,4405.19,Eleve,73
Safi,Mixte,Lycée Moulay Ismail,Lycée,612,1,Intelligence Artificielle MVP,Ete,Dimanche,74,725.52,Faible,51
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,951,11,Creation de Jeux Scratch,Automne,Samedi,13,112.81,Faible,54
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,899,13,Initiation Python,Automne,Dimanche,32,305.44,Faible,77
Taroudant,Mixte,Lycée Mohammed V Taroudant,Lycée,698,15,Robotique & Arduino,Printemps,Samedi,54,602.01,Faible,83
Taroudant,Mixte,Lycée Mohammed V Taroudant,Lycée,708,21,Creation de Jeux Scratch,Automne,Jeudi,145,1566.8,Faible,67
Beni Mellal,Mixte,Lycée Hassan II Beni Mellal,Lycée,698,6,Creation de Jeux Scratch,Hiver,Lundi,68,647.73,Faible,58
Beni Mellal,Mixte,Lycée Ibn Sina,Lycée,694,11,Initiation Python,Printemps,Jeudi,76,683.84,Faible,73
Taroudant,Mixte,Lycée Ibn Soulaiman Roudani,Lycée,563,12,Creation de Jeux Scratch,Hiver,Jeudi,53,610.51,Faible,78
